Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
1432,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,9,T3,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
1516,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
1552,TOYOTA,COROLLA,1974,DIESEL,SALOON,Manual,4,72BHP,72,53,_E10_,1/07/92,7,,2C,Prechamber Engine,4,2,Front Wheel Drive
1726,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,71KW,97,71,,1/08/02,9,M,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
1756,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,90BHP,90,66,,1/07/04,9,T3,1ND-TV,Direct Injection,4,2,Front Wheel Drive
1936,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,4,86BHP,86,63,_E11_,1/04/97,8,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2024,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2066,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,71KW,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2182,TOYOTA,COROLLA,1975,DIESEL,SALOON,Manual,4,72BHP,72,53,_E11_,1/04/97,8,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
2274,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2310,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2460,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,71KW,97,71,,1/08/02,9,STRATA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
