Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
20464,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
20494,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,9,SPIRIT,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
20506,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,135BHP,135,99,_E12J_,1/01/02,1,T3,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
20618,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Automatic,5,90BHP,90,66,,1/07/04,9,COLLECTION,1ND-TV,Direct Injection,4,2,Front Wheel Drive
20996,TOYOTA,COROLLA,1332,PETROL,HATCHBACK,Manual,5,75BHP,75,55,,1/09/95,7,SPORTIF,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
21674,TOYOTA,COROLLA,1295,PETROL,ESTATE,Manual,5,75BHP,75,55,_E9_,1/06/89,6,,2E-E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
21770,TOYOTA,COROLLA,1975,DIESEL,ESTATE,Manual,5,72BHP,72,53,__E11_,1/04/97,8,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
21978,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,T3,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
22014,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,SPIRIT,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
22066,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,T3,1ND-TV,Direct Injection,4,2,Front Wheel Drive
22818,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,135BHP,135,99,_E12J_,1/01/02,1,,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
22836,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
23352,TOYOTA,COROLLA,1295,PETROL,HATCHBACK,Manual,5,75BHP,75,55,_E9_,1/08/87,6,LX,2E;2E-E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
23542,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,3,110BHP,110,81,,1/01/02,8,SR,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
23758,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,T2,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
23862,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,129BHP,129,95,R1_,1/04/04,1,,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
23922,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,3,110BHP,110,81,,1/01/02,9,COLLECTION,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24358,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,4,88BHP,88,65,_E10_,1/07/92,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24422,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,4,86BHP,86,63,_E11_,1/04/97,0,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24434,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,4,86BHP,86,63,_E11_,1/04/97,8,SPORTIF,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24448,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,4,86BHP,86,63,_E11_,1/04/97,8,TERRA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24756,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24804,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Manual,5,110BHP,110,81,,1/01/02,1,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
24842,TOYOTA,COROLLA,1995,DIESEL,VAN,Manual,3,116BHP,116,85,,1/06/04,9,TERRA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
24880,TOYOTA,COROLLA,1995,DIESEL,ESTATE,Manual,5,90BHP,90,66,,1/01/02,9,TERRA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
25526,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,5,86BHP,86,63,_E11_,1/04/97,8,TERRA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
25664,TOYOTA,COROLLA,1868,DIESEL,ESTATE,Manual,5,69BHP,69,51,__E11_,1/02/00,8,TERRA,1WZ,Prechamber Engine,4,2,Front Wheel Drive
25728,TOYOTA,COROLLA,1498,PETROL,HATCHBACK,Automatic,5,106BHP,106,78,_P1_,1/04/01,7,,1NZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
26198,TOYOTA,COROLLA,2231,DIESEL,ESTATE,Manual,5,100KW,136,100,,1/10/05,1,TERRA,2AD-FTV,Direct Injection,4,4,Front Wheel Drive
27088,TOYOTA,COROLLA,1496,PETROL,SALOON,Automatic,4,106BHP,106,78,_P1_,1/04/01,1,,1NZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
27236,TOYOTA,COROLLA,1796,PETROL,HATCHBACK,Manual,5,192BHP,192,141,,1/01/02,9,SPORT,2ZZ-GE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28078,TOYOTA,COROLLA,1295,PETROL,SALOON,Manual,5,75BHP,75,55,_E9_,1/08/87,6,LX,2E;2E-E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
28090,TOYOTA,COROLLA,1295,PETROL,HATCHBACK,Manual,3,75BHP,75,55,_E9_,1/08/87,0,GL,2E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
28152,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,5,75BHP,75,55,_E10_,1/09/95,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28204,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,5,75BHP,75,55,_E10_,1/09/95,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28226,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,5,86BHP,86,63,_E11_,1/04/97,0,TERRA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28658,TOYOTA,COROLLA,1995,DIESEL,ESTATE,Manual,5,90BHP,90,66,,1/01/02,9,T3,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
28662,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,SPORT,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28722,TOYOTA,COROLLA,1995,DIESEL,HATCHBACK,Manual,5,109BHP,110,81,,1/01/02,8,SPIRIT,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
28878,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,3,110BHP,110,81,,1/01/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28914,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,5,97BHP,97,71,,1/08/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
28970,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Automatic,5,129BHP,129,95,R1_,1/04/04,1,,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
29084,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,95KW,129,95,R1_,1/04/04,1,TERRA,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
29178,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,66KW,90,66,,1/07/04,9,,1ND-TV,Direct Injection,4,2,Front Wheel Drive
29540,TOYOTA,COROLLA VERSO,1598,PETROL,MPV,Manual,5,110BHP,110,81,,1/04/04,9,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
29878,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,4,88BHP,88,65,_E10_,1/07/92,0,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
29918,TOYOTA,COROLLA,1974,DIESEL,ESTATE,Manual,5,72BHP,72,53,_E10_,1/07/92,7,XL,2C,Prechamber Engine,4,2,Front Wheel Drive
30020,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,3,86BHP,86,63,_E11_,1/04/97,8,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30128,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,GLS,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30190,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30572,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,9,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30626,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,3,97BHP,97,71,,1/08/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30656,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30708,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,SPIRIT,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30722,TOYOTA,COROLLA,1598,PETROL,SALOON,Manual,5,110BHP,110,81,,1/08/02,1,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
30930,TOYOTA,COROLLA VERSO,1995,DIESEL,MPV,Manual,5,116BHP,116,85,R1_,1/04/04,9,T2,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
30958,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,129BHP,129,95,R1_,1/04/04,1,SOL,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32066,TOYOTA,COROLLA,1587,PETROL,HATCHBACK,Manual,5,114BHP,114,84,AE102,1/07/92,7,CDX,4A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32138,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,5,86BHP,86,63,_E11_,1/04/97,7,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32148,TOYOTA,COROLLA,1975,DIESEL,ESTATE,Manual,5,72BHP,72,53,__E11_,1/04/97,8,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
32502,TOYOTA,COROLLA,1498,PETROL,COUPE,Manual,2,90BHP,90,66,EL54,1/08/95,7,,5E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32650,TOYOTA,COROLLA,1498,PETROL,ESTATE,Automatic,5,106BHP,106,78,_P1_,1/04/01,7,,1NZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32682,TOYOTA,COROLLA,1598,PETROL,SALOON,Manual,5,110BHP,110,81,_E11_,1/02/00,1,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
32846,TOYOTA,COROLLA,1995,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/08/02,9,LUNA,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
33162,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,90BHP,90,66,,1/07/04,9,,1ND-TV,Direct Injection,4,2,Front Wheel Drive
33222,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Automatic,5,90BHP,90,66,,1/07/04,9,T3,1ND-TV,Direct Injection,4,2,Front Wheel Drive
33236,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,4,97BHP,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
33250,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Automatic,5,90BHP,90,66,,1/07/04,9,T2,1ND-TV,Direct Injection,4,2,Front Wheel Drive
33566,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,LUNA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
34296,TOYOTA,COROLLA,1839,DIESEL,SALOON,Manual,4,64BHP,64,47,_E9_,1/07/87,1,LX,1C,Prechamber Engine,4,2,Front Wheel Drive
34340,TOYOTA,COROLLA,1587,PETROL,HATCHBACK,Manual,3,125BHP,125,92,_E9_,1/07/87,6,GTI,4A-GE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
34380,TOYOTA,COROLLA,1762,PETROL,HATCHBACK,Manual,3,117BHP,117,86,AE102,1/11/92,7,GXI,7A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
34654,TOYOTA,COROLLA,1332,PETROL,SALOON,Automatic,5,86BHP,86,63,_E11_,1/04/97,7,LUNA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
34882,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,8,SPORT,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
35132,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,8,,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
35280,TOYOTA,COROLLA,1587,PETROL,SALOON,Manual,4,107BHP,107,79,_E11_,1/04/97,8,,4A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
35538,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,5,97BHP,97,71,_E11_,1/02/00,8,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
35570,TOYOTA,COROLLA,1598,PETROL,SALOON,Manual,4,110BHP,110,81,,1/08/02,9,T3,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
35934,TOYOTA,COROLLA VERSO,1995,DIESEL,MPV,Manual,5,116BHP,116,85,R1_,1/04/04,9,SPIRIT,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
36204,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,COLLECTION,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
36800,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,129BHP,129,95,R1_,1/04/04,1,SR,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
37192,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,95KW,129,95,R1_,1/04/04,1,AURA,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
37460,TOYOTA,COROLLA,1295,PETROL,HATCHBACK,Manual,3,75BHP,75,55,_E9_,1/08/87,6,LX,2E;2E-E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
37464,TOYOTA,COROLLA,1295,PETROL,SALOON,Manual,5,75BHP,75,55,_E9_,1/08/87,6,,2E;2E-E,Intake Manifold Injection/ Carburettor,4,3,Front Wheel Drive
37554,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,4,88BHP,88,65,_E10_,1/07/92,0,GL,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
37558,TOYOTA,COROLLA,1587,PETROL,HATCHBACK,Manual,5,114BHP,114,84,AE102,1/07/92,7,EXECUTIVE,4A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
37740,TOYOTA,COROLLA,1332,PETROL,HATCHBACK,Manual,5,75BHP,75,55,,1/09/95,7,SE,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
37746,TOYOTA,COROLLA,1587,PETROL,SALOON,Manual,4,114BHP,114,84,_E10_,1/09/95,7,CD,4A-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
